title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
The Hobbit: The Desolation of Smaug,250000000,958400000,161,11.764,7.57,13485,True,Peter Jackson,Ian McKellen,708400000,0.7391485809682805,New Line Cinema,Fantasy,Adventure,Action
Solo: A Star Wars Story,250000000,392952373,135,11.7569,6.559,8788,False,Ron Howard,Alden Ehrenreich,142952373,0.36379058334379877,Lucasfilm Ltd.,Science Fiction,Adventure,Action
Past Lives,12000000,28126646,106,11.7417,7.7,1930,False,Celine Song,Greta Lee,16126646,0.573358302301668,A24,Drama,Romance,
Baby Driver,34000000,226945087,113,11.7413,7.447,16070,True,Edgar Wright,Ansel Elgort,192945087,0.8501840227103044,Big Talk Studios,Action,Crime,
The Boy in the Striped Pyjamas,12500000,20416563,94,11.7333,7.8,7335,False,Mark Herman,Asa Butterfield,7916563,0.3877519933203253,BBC Film,Drama,War,History
Venom: Let There Be Carnage,110000000,506863592,97,11.726,6.77,10680,True,Andy Serkis,Tom Hardy,396863592,0.782979086018078,Columbia Pictures,Science Fiction,Action,Adventure
Rango,135000000,245700000,112,11.723,6.9,6690,False,Gore Verbinski,Johnny Depp,110700000,0.45054945054945056,Paramount Pictures,Animation,Comedy,Family
The Curious Case of Benjamin Button,150000000,335802786,166,11.7006,7.593,13092,False,David Fincher,Brad Pitt,185802786,0.553309245028122,Paramount Pictures,Drama,Fantasy,Romance
Rush,38000000,90200000,123,11.6839,7.723,7334,False,Ron Howard,Chris Hemsworth,52200000,0.5787139689578714,Revolution Films,Drama,Action,
The Amazing Spider-Man,215000000,757930663,136,11.6729,6.7,17741,True,Marc Webb,Andrew Garfield,542930663,0.7163328909942782,Marvel Entertainment,Action,Adventure,Science Fiction
PAW Patrol: The Mighty Movie,30000000,202231360,87,11.6655,7.041,491,True,Cal Brunker,Mckenna Grace,172231360,0.8516550548836739,Nickelodeon Movies,Family,Comedy,Adventure
"Crazy, Stupid, Love.",50000000,145079584,118,11.6342,7.266,8769,False,Glenn Ficarra,Steve Carell,95079584,0.6553615703778142,Warner Bros. Pictures,Comedy,Drama,Romance
Eternal Sunshine of the Spotless Mind,20000000,72258126,108,11.5973,8.092,15470,False,Michel Gondry,Jim Carrey,52258126,0.7232145212290726,Focus Features,Science Fiction,Drama,Romance
Idiocracy,30000000,495303,84,11.5919,6.338,3144,False,Mike Judge,Luke Wilson,-29504697,-59.56898504551759,20th Century Fox,Comedy,Science Fiction,Adventure
Alita: Battle Angel,170000000,405000000,122,11.5859,7.2,9435,False,Robert Rodriguez,Rosa Salazar,235000000,0.5802469135802469,Troublemaker Studios,Action,Science Fiction,Adventure
Blue Beetle,104000000,130788072,128,11.5597,6.686,2802,False,Ángel Manuel Soto,Xolo Mariduena,26788072,0.20482045182224262,Warner Bros. Pictures,Action,Science Fiction,Adventure
Memento,9000000,40047236,113,11.5253,8.178,15324,False,Christopher Nolan,Guy Pearce,31047236,0.7752653891020095,Newmarket Films,Mystery,Thriller,
Sing,75000000,634151679,107,11.4939,7.116,8109,True,Garth Jennings,Matthew McConaughey,559151679,0.8817317646808596,Illumination,Animation,Comedy,Family
Ice Age: Dawn of the Dinosaurs,90000000,886686817,94,11.4894,6.758,8497,True,Carlos Saldanha,Ray Romano,796686817,0.8984985473174121,Blue Sky Studios,Animation,Comedy,Family
The Bad Guys,80000000,250162278,100,11.4811,7.546,2165,True,Pierre Perifel,Sam Rockwell,170162278,0.6802075810966192,DreamWorks Animation,Family,Comedy,Crime
